,code,product_name,countries,nutrition_grade_fr,pnns_groups_1,pnns_groups_2,energy_100g,sugars_100g,nutrition-score-fr_100g
106,36252,Lion Peanut x2,en:FR,e,Sugary snacks,Sweets,1883.0,57.5,22.0
190,10187319,Mini Confettis,en:FR,d,Sugary snacks,Sweets,1753.0,87.7,14.0
191,10207260,Praliné Amande Et Noisette,en:FR,d,Sugary snacks,Sweets,2406.0,50.3,14.0
218,20424640,Belgische Pralinen,Germany,e,Sugary snacks,Sweets,2257.0,51.5,26.0
226,40608754,"Pepsi, Nouveau goût !",en:FR,e,Beverages,Sweetened beverages,177.0,10.4,13.0
240,87177756,7Up,en:FR,e,Beverages,Sweetened beverages,177.0,10.4,13.0
242,10,Madeleines nature,en:FR,d,Sugary snacks,Biscuits and cakes,1900.0,26.0,12.0
279,30,Cakes Raisins,en:FR,d,Sugary snacks,Biscuits and cakes,1768.0,28.0,13.0
283,31,Cakes aux Fruits,en:FR,d,Sugary snacks,Biscuits and cakes,1670.0,34.0,12.0
299,50,Financiers aux Amandes,en:FR,e,Sugary snacks,Biscuits and cakes,1868.0,39.0,22.0
301,51,Fondants Citron,en:FR,e,Sugary snacks,Biscuits and cakes,1896.0,37.0,22.0
360,790310013,Sour Fruit Gummies,Germany,d,Sugary snacks,Sweets,1360.0,57.5,14.0
361,790310020,Jelly Fish,Germany,c,Sugary snacks,Sweets,586.0,24.0,6.0
428,104,30 Panach' Fruits,en:FR,d,Sugary snacks,Biscuits and cakes,1724.0,31.0,13.0
454,11693,All Buter Belgian White Chocolate Chunk Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2172.0,33.5,26.0
458,11778,Stem Ginger Cookies,en:FR,d,Sugary snacks,Biscuits and cakes,1809.0,35.7,18.0
459,11815,Stem Ginger Dunkers,en:FR,e,Sugary snacks,Biscuits and cakes,1981.0,31.8,20.0
508,227,Bijou Caramel ChocoLait,en:FR,e,Sugary snacks,Biscuits and cakes,1807.0,37.0,19.0
9744,1151,Mini Crêpes ChocoLait,en:FR,e,Sugary snacks,Biscuits and cakes,2018.0,48.0,24.0
9890,11747615105,Ginger candy,en:FR,d,Sugary snacks,Sweets,1632.0,70.3,14.0
9891,117746,Reduced Fat Belgian Chocolate Chunk Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,1928.0,44.4,24.0
11272,14100096979,Chocolate Chunk Crispy Cookies - Dark Chocolate Pecan,en:FR,e,Sugary snacks,Biscuits and cakes,2269.0,34.0,21.0
11273,14100096986,Chocolate Chunk Dark Double Chocolate Crispy Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2131.0,34.8,21.0
11275,14100097006,Chocolate Chunk Milk Chocolate Macadamia Crispy Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2230.0,32.6,21.0
11276,14100097013,Chocolate Chunk White Chocolate Macadamia Crispy Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2238.0,30.4,20.0
11277,14100097037,Soft Baked Chocolate Chunk Dark Chocolat Brownie,en:FR,e,Sugary snacks,Biscuits and cakes,1946.0,41.7,21.0
11278,14100097068,Oatmeal Raisin,en:FR,d,Sugary snacks,Biscuits and cakes,1753.0,41.9,16.0
11281,14100098980,Soft Baker chocolate chunk,en:FR,e,Sugary snacks,Biscuits and cakes,1916.0,40.8,22.0
13112,16229004507,Foco basil seed drink,en:FR,e,Beverages,Sweetened beverages,266.0,13.3,18.0
13129,16229901141,Coconut Juice,en:FR,b,Beverages,Fruit juices,142.0,6.29,0.0
13133,16229901226,Lychee drink,en:FR,e,Beverages,Sweetened beverages,187.0,11.0,15.0
13134,16229901479,coconut juice,en:FR,b,Beverages,Fruit juices,140.0,6.25,0.0
13135,16229902643,Roasted Coconut Juice,en:FR,c,Beverages,Fruit juices,172.0,8.9,2.0
13138,16229903534,Soursop Juice,en:FR,e,Beverages,Sweetened beverages,184.0,11.0,15.0
13419,1664,Brins de ChocoCaramel,en:FR,e,Sugary snacks,Biscuits and cakes,1960.0,50.0,24.0
15157,19281700110,Boisson a base de jus de lychee,en:FR,e,Beverages,Sweetened beverages,192.0,11.3,15.0
15163,19320015441,Shortbread Cookies,en:FR,d,Sugary snacks,Biscuits and cakes,2040.0,18.6,17.0
19458,22000015969,Wild Berry Skittles,en:FR,d,Sugary snacks,Sweets,1690.0,63.0,18.0
19493,220347,Diet Lemonade,en:FR,c,Beverages,Sweetened beverages,42.0,0.2,3.0
19570,22314010018,Crème de marrons de l'Ardèche,en:FR,c,Sugary snacks,Sweets,1130.0,50.2,10.0
24953,29801025036,Gaufrettes fines,en:FR,e,Sugary snacks,Biscuits and cakes,2056.0,36.0,23.0
25051,29981004067,Pandoro - Italian Speciality Cake,en:FR,d,Sugary snacks,Biscuits and cakes,1618.0,13.3,16.0
25067,30000012109,Quaker Original,en:FR,a,Cereals and potatoes,Breakfast cereals,1490.0,0.0,0.0
25086,30000065075,Peanut Butter Crunch,en:FR,d,Cereals and potatoes,Breakfast cereals,1700.0,33.3,18.0
27153,31200490032,Cranberry Classic,en:FR,e,Beverages,Sweetened beverages,209.0,12.0,15.0
27215,31290718115,Dark chocolate almond,en:FR,e,Sugary snacks,Chocolate products,2333.0,24.0,21.0
28062,322881,Pure squeezed Florida orange juice with juicy bits,en:FR,c,Beverages,Fruit juices,179.0,9.2,3.0
29067,34000003341,White Reese's Peanut Butter Cups,en:FR,e,Sugary snacks,Sweets,2268.0,44.8,29.0
29090,34000114702,Reese's Pieces,en:FR,e,Sugary snacks,Sweets,2090.0,52.5,22.0
29120,34000440887,Reese's,en:FR,e,Sugary snacks,Chocolate products,2278.0,50.1,29.0
29122,34000441037,Peanut butter cups,en:FR,e,Sugary snacks,Chocolate products,2299.0,50.2,29.0
29129,34000448609,Peanut Butter Cups Miniatures,en:FR,e,Sugary snacks,Sweets,2090.0,52.3,26.0
29130,34000449095,Peanut Butter Cups Miniatures,en:FR,e,Sugary snacks,Sweets,2289.0,51.7,25.0
29140,34000473038,Milk Chocolate Reese's Peanut Butter,en:FR,e,Sugary snacks,Chocolate products,2090.0,47.1,24.0
30000,356398,Jus de pommes et de mangues pressé non à base de concentré,en:FR,d,Beverages,Fruit juices,205.0,11.1,6.0
34632,37600106412,Skippy extra-crunchy supercrunch,en:FR,d,Sugary snacks,Sweets,2679.0,9.4,16.0
35195,38000219634,Frosted Flakes,en:FR,d,Cereals and potatoes,Breakfast cereals,1600.0,35.3,12.0
35204,38000391200,Froot Loops,en:FR,d,Cereals and potatoes,Breakfast cereals,1590.0,41.4,14.0
35807,39047001312,Pure Butter Shortbread Triangles,en:FR,e,Sugary snacks,Biscuits and cakes,2092.0,20.0,23.0
35826,39047011496,Pure Butter Chocolate Chip Shortbread,en:FR,e,Sugary snacks,Biscuits and cakes,2168.0,25.7,22.0
35857,39047153547,Biscuits à l'avoine aux myrtilles et à la vanille,en:FR,b,Sugary snacks,Biscuits and cakes,1881.0,18.8,1.0
36080,393072,Diet Sparkling Florida Orange,en:FR,c,Beverages,Sweetened beverages,29.0,0.8,2.0
54740,42272010523,Vanilla Organic Non-Dairy,en:FR,d,Milk and dairy products,Ice cream,778.0,13.0,14.0
54741,422720105530,Glace au chocolat végane,en:FR,d,Milk and dairy products,Ice cream,791.0,13.0,13.0
56727,44000032586,Golden Oreo,en:FR,e,Sugary snacks,Biscuits and cakes,1970.0,35.3,20.0
56734,44000037420,Oreo smile,en:FR,d,Sugary snacks,Biscuits and cakes,1980.0,40.4,18.0
58688,469258,Chocolate Chip Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2080.0,35.3,21.0
58756,473170,6 scones aux raisins de Smyrne,en:FR,d,Sugary snacks,Biscuits and cakes,1472.0,20.5,17.0
64406,52302222222,Chocolat au lait aux noisettes entières,en:FR,e,Sugary snacks,Chocolate products,2400.0,42.5,21.0
64664,52600112751,Marshmallow Fluff,en:FR,d,Sugary snacks,Sweets,1382.0,49.0,14.0
64665,52600312755,Marshmallow Fluff Fraise,en:FR,d,Sugary snacks,Sweets,1382.0,49.0,14.0
64666,52600412752,FLUFF Caramel,en:FR,d,Sugary snacks,Sweets,1381.0,49.0,14.0
65620,54308184412,Kola Champron Original,en:FR,e,Beverages,Sweetened beverages,243.0,14.4,19.0
66187,564939,Jelly Belly® jelly beans,en:FR,d,Sugary snacks,Sweets,1540.0,60.8,14.0
66264,573924,Double Chocolate Muffin Mix,en:FR,e,Sugary snacks,Biscuits and cakes,1895.0,46.1,21.0
66599,587761,fairtrade brazil nut cookies,en:FR,d,Sugary snacks,Biscuits and cakes,2235.0,22.1,18.0
67224,62020000842,Nutella,en:FR,e,Sugary snacks,Sweets,2272.0,57.0,21.0
67437,64100589940,Céréales rice krispies,en:FR,d,Cereals and potatoes,Breakfast cereals,1640.0,10.7,13.0
67928,66721000880,BelVita Petit-déjeuner Avoine aux bananes et chocolat tendres,en:FR,c,Sugary snacks,Biscuits and cakes,1590.0,20.0,9.0
68026,67311048671,Collection Nature Orange Framboise Fruit de la Passion,en:FR,c,Beverages,Fruit juices,201.0,11.2,5.0
76610,71567998338,Dragées surprises de Bertie Crochue,en:FR,d,Sugary snacks,Sweets,1570.0,70.4,14.0
76638,71570000615,Dragées Surprises de Bertie Crochue,en:FR,d,Sugary snacks,Sweets,1523.0,62.0,14.0
80631,72417145889,Luxury Cookies Nougatine,en:FR,e,Sugary snacks,Biscuits and cakes,2152.0,34.4,24.0
80632,72417146831,Z'animo,en:FR,e,Sugary snacks,Biscuits and cakes,2092.0,27.2,21.0
80634,72417152924,Finger,en:FR,e,Sugary snacks,Biscuits and cakes,2134.0,39.3,21.0
80636,72417153181,Finger blanc,en:FR,e,Sugary snacks,Biscuits and cakes,2165.0,31.0,22.0
80638,72417156069,Cookies Milk & Hazelnut Chunk Sensations,en:FR,e,Sugary snacks,Biscuits and cakes,2228.0,33.8,24.0
80826,72457880559,Chocolat Noir Mendiant ,en:FR,e,Sugary snacks,Chocolate products,2380.0,34.0,24.0
84654,73491024015,Crème Caramel Flan,en:FR,c,Milk and dairy products,Dairy desserts,594.0,24.78,6.0
85796,741316,Marks&Spencer rich tea biscuits,en:FR,d,Sugary snacks,Biscuits and cakes,1910.0,18.7,14.0
85802,741590,Sugar Free Cloudy Lemonade,en:FR,c,Beverages,Sweetened beverages,13.0,0.1,2.0
86731,744485,Custard creams,en:FR,e,Sugary snacks,Biscuits and cakes,2037.0,28.4,21.0
90923,76084932100,Special K nature,en:FR,c,Cereals and potatoes,Breakfast cereals,1588.0,17.0,6.0
92093,76677100145,Chocolate Chip,en:FR,e,Sugary snacks,Biscuits and cakes,2090.0,32.1,19.0
92501,76840600021,Cookie Dough Ben & Jerry's 425 G,en:FR,d,Milk and dairy products,Ice cream,1130.0,25.0,16.0
92505,76840620036,Half Baked Ice Cream,Germany,d,Milk and dairy products,Ice cream,1099.0,27.0,16.0
93405,77330566087,Biscuits à l'avoine et aux canneberges,en:FR,e,Sugary snacks,Biscuits and cakes,2077.0,29.0,22.0
93406,77330566223,Chocolate Chip Cookies,en:FR,e,Sugary snacks,Biscuits and cakes,2030.0,36.4,20.0
99325,789400,Extremely Chocolatey Millionaire's Caramel Crispy Mini Bites,en:FR,e,Sugary snacks,Biscuits and cakes,1963.0,43.7,24.0
99452,79200616007,Wonka Nerds Starwberry And Grape Theatre,en:FR,d,Sugary snacks,Sweets,1757.0,98.0,15.0
101132,819077,"Berries, Cherries & Flakes ",en:FR,c,Cereals and potatoes,Breakfast cereals,1566.0,14.5,6.0
101140,819367,Traditional British Porridge Oats,en:FR,a,Cereals and potatoes,Breakfast cereals,1500.0,1.2,0.0
102180,84909104175,Jus de coco congelé,en:FR,c,Beverages,Fruit juices,201.0,10.0,4.0
104651,853040,Blackcurrant conserve,en:FR,c,Sugary snacks,Sweets,1031.0,56.8,10.0
104652,853118,Ruby red grapefruit marmalade,en:FR,d,Sugary snacks,Sweets,1097.0,62.9,11.0
106838,90478410012,Mandarine,en:FR,e,Beverages,Sweetened beverages,192.0,11.9,15.0
106839,90478410029,Jarritos Tamarind,en:FR,e,Beverages,Sweetened beverages,157.0,9.17,13.0
107062,913744,Muesli,en:FR,a,Cereals and potatoes,Breakfast cereals,1632.0,20.0,0.0
107103,916592,"Apple, pineapple, mango & coconut water juice",en:FR,c,Beverages,Fruit juices,193.0,8.4,2.0
107240,922661,Pressed Pink Lady Apple Juice,en:FR,d,Beverages,Fruit juices,213.0,10.8,6.0
109317,974127,Coconut water with pineapple juice,en:FR,e,Beverages,Sweetened beverages,142.0,7.5,10.0
109745,993739,spiced British apple juice,en:FR,c,Beverages,Fruit juices,190.0,10.4,4.0
